,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
508,0.45,0.332,0,-11.524,1,0.0355,0.223,0.0145,0.113,0.0636,119.914,audio_features,3ND82YO0h3Q35zQks4OhY1,spotify:track:3ND82YO0h3Q35zQks4OhY1,https://api.spotify.com/v1/tracks/3ND82YO0h3Q35zQks4OhY1,https://api.spotify.com/v1/audio-analysis/3ND82YO0h3Q35zQks4OhY1,129730,4,Dark Trap,Reflection,,
10554,0.29,0.947,4,-4.249,0,0.0718,3.59e-05,0.102,0.547,0.12,201.266,audio_features,0zSzeDIShR06It8McLFibG,spotify:track:0zSzeDIShR06It8McLFibG,https://api.spotify.com/v1/tracks/0zSzeDIShR06It8McLFibG,https://api.spotify.com/v1/audio-analysis/0zSzeDIShR06It8McLFibG,207434,3,Trap Metal,No Pity For A Coward,,
12829,0.514,0.971,8,-2.633,1,0.0696,0.00131,0.0005480000000000001,0.281,0.482,108.008,audio_features,1DlT3Udf11689ezYr6R8aA,spotify:track:1DlT3Udf11689ezYr6R8aA,https://api.spotify.com/v1/tracks/1DlT3Udf11689ezYr6R8aA,https://api.spotify.com/v1/audio-analysis/1DlT3Udf11689ezYr6R8aA,188200,4,Emo,Nerve,,
1067,0.742,0.396,8,-15.842,1,0.12,0.632,0.693,0.0852,0.129,114.983,audio_features,1l9faIHJQ8YCGDYX5SYjWV,spotify:track:1l9faIHJQ8YCGDYX5SYjWV,https://api.spotify.com/v1/tracks/1l9faIHJQ8YCGDYX5SYjWV,https://api.spotify.com/v1/audio-analysis/1l9faIHJQ8YCGDYX5SYjWV,134924,4,Dark Trap,Wither,,
31735,0.59,0.978,1,-5.433,1,0.0362,1.0199999999999999e-05,0.865,0.28600000000000003,0.0701,146.029,audio_features,74w4u8tkNbBofYfFrZSMqn,spotify:track:74w4u8tkNbBofYfFrZSMqn,https://api.spotify.com/v1/tracks/74w4u8tkNbBofYfFrZSMqn,https://api.spotify.com/v1/audio-analysis/74w4u8tkNbBofYfFrZSMqn,439001,4,psytrance,,10299.0,PSYTRANCE BANGERS best new 2020
