,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0,0.703,0.444,11,-7.396,0,0.0367,0.488,1.44e-05,0.123,0.294,200.07,audio_features,6Jw7La8Zj9oH1IToQxXxGC,spotify:track:6Jw7La8Zj9oH1IToQxXxGC,https://api.spotify.com/v1/tracks/6Jw7La8Zj9oH1IToQxXxGC,https://api.spotify.com/v1/audio-analysis/6Jw7La8Zj9oH1IToQxXxGC,138747,4,Dark Trap,Don't Worry,,
1,0.8029999999999999,0.935,8,-5.665,0,0.0772,0.0038299999999999996,0.87,0.146,0.55,124.999,audio_features,4LrTGjexMBUhNwj6KpdsIl,spotify:track:4LrTGjexMBUhNwj6KpdsIl,https://api.spotify.com/v1/tracks/4LrTGjexMBUhNwj6KpdsIl,https://api.spotify.com/v1/audio-analysis/4LrTGjexMBUhNwj6KpdsIl,218880,4,techhouse,,2660.0,Dirtybird Players
2,0.795,0.5870000000000001,10,-10.314,0,0.0651,0.0231,0.0,0.14800000000000002,0.374,140.054,audio_features,3Il53uuWSYoXh9xf7cLo8X,spotify:track:3Il53uuWSYoXh9xf7cLo8X,https://api.spotify.com/v1/tracks/3Il53uuWSYoXh9xf7cLo8X,https://api.spotify.com/v1/audio-analysis/3Il53uuWSYoXh9xf7cLo8X,117420,4,Underground Rap,HOT Freestyle,,
3,0.534,0.583,2,-8.672,1,0.0288,0.0262,0.0,0.421,0.145,211.99400000000003,audio_features,0S0vWvyZ6Rc79TXkWxT9QA,spotify:track:0S0vWvyZ6Rc79TXkWxT9QA,https://api.spotify.com/v1/tracks/0S0vWvyZ6Rc79TXkWxT9QA,https://api.spotify.com/v1/audio-analysis/0S0vWvyZ6Rc79TXkWxT9QA,231547,4,Trap Metal,Save That Shit,,
4,0.557,0.526,8,-9.499,0,0.32299999999999995,0.00946,0.0,0.128,0.123,159.908,audio_features,2MyCT1iCuBUhcO8zbjOyRW,spotify:track:2MyCT1iCuBUhcO8zbjOyRW,https://api.spotify.com/v1/tracks/2MyCT1iCuBUhcO8zbjOyRW,https://api.spotify.com/v1/audio-analysis/2MyCT1iCuBUhcO8zbjOyRW,325853,4,Dark Trap,Dance For Me (feat. NAV),,
5,0.863,0.631,7,-4.689,1,0.0534,0.305,3.04e-05,0.123,0.8170000000000001,128.977,audio_features,4nK5YrxbMGZstTLbvj6Gxw,spotify:track:4nK5YrxbMGZstTLbvj6Gxw,https://api.spotify.com/v1/tracks/4nK5YrxbMGZstTLbvj6Gxw,https://api.spotify.com/v1/audio-analysis/4nK5YrxbMGZstTLbvj6Gxw,223480,4,Pop,Supalonely,,
6,0.6779999999999999,0.975,7,-0.922,0,0.18899999999999997,0.0141,0.0288,0.664,0.158,149.907,audio_features,7wylL73yeixsWbiYVcMZpK,spotify:track:7wylL73yeixsWbiYVcMZpK,https://api.spotify.com/v1/tracks/7wylL73yeixsWbiYVcMZpK,https://api.spotify.com/v1/audio-analysis/7wylL73yeixsWbiYVcMZpK,276800,4,trap,,13541.0,Heavy Dubstep
