,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
15701,0.512,0.6729999999999999,0,-7.359,1,0.0523,0.289,3.04e-06,0.126,0.11,99.84,audio_features,5BoOzegGrg5XFRR8UBDtkF,spotify:track:5BoOzegGrg5XFRR8UBDtkF,https://api.spotify.com/v1/tracks/5BoOzegGrg5XFRR8UBDtkF,https://api.spotify.com/v1/audio-analysis/5BoOzegGrg5XFRR8UBDtkF,233813,4,Rap,Broken Whiskey Glass,,
29202,0.39899999999999997,0.8809999999999999,6,-11.437999999999999,0,0.0851,0.0183,0.9229999999999999,0.662,0.0335,138.05100000000002,audio_features,53CrMgGb9ni30Kl2ZL7yQs,spotify:track:53CrMgGb9ni30Kl2ZL7yQs,https://api.spotify.com/v1/tracks/53CrMgGb9ni30Kl2ZL7yQs,https://api.spotify.com/v1/audio-analysis/53CrMgGb9ni30Kl2ZL7yQs,278256,4,trance,,7746.0,State if Trance (The best ASOT Epsidoes)
15228,0.241,0.429,1,-10.901,1,0.0834,0.103,0.000336,0.272,0.0909,74.01899999999998,audio_features,6vy95NfrMeUfaXpaTm4O53,spotify:track:6vy95NfrMeUfaXpaTm4O53,https://api.spotify.com/v1/tracks/6vy95NfrMeUfaXpaTm4O53,https://api.spotify.com/v1/audio-analysis/6vy95NfrMeUfaXpaTm4O53,290693,5,Rap,II. Zealots Of Stockholm [Free Information],,
12102,0.512,0.996,7,-0.16699999999999998,1,0.222,0.262,0.000238,0.338,0.28300000000000003,119.709,audio_features,4lpzADTw9OXNLMIrNcgjCk,spotify:track:4lpzADTw9OXNLMIrNcgjCk,https://api.spotify.com/v1/tracks/4lpzADTw9OXNLMIrNcgjCk,https://api.spotify.com/v1/audio-analysis/4lpzADTw9OXNLMIrNcgjCk,127000,4,Trap Metal,Skull Fuck,,
15634,0.753,0.532,2,-8.994,0,0.068,0.118,0.0,0.105,0.0988,86.0,audio_features,6eALGwisGf6xE936HHwVBX,spotify:track:6eALGwisGf6xE936HHwVBX,https://api.spotify.com/v1/tracks/6eALGwisGf6xE936HHwVBX,https://api.spotify.com/v1/audio-analysis/6eALGwisGf6xE936HHwVBX,136013,4,Rap,Beautiful 00*,,
