,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
5650,0.63,0.8420000000000001,1,-5.636,0,0.316,0.000967,0.0,0.362,0.634,169.90400000000002,audio_features,629TRAVD61y1ZVNl9EOfEE,spotify:track:629TRAVD61y1ZVNl9EOfEE,https://api.spotify.com/v1/tracks/629TRAVD61y1ZVNl9EOfEE,https://api.spotify.com/v1/audio-analysis/629TRAVD61y1ZVNl9EOfEE,191869,4,Underground Rap,THE BROWN STAINS OF DARKEESE LATIFAH PART 6-12 (REMIX) (feat. ScHoolboy Q),,
16379,0.598,0.652,5,-4.944,1,0.0421,0.163,0.0,0.145,0.24,130.049,audio_features,7191DyEIdTSPjx5dtEZMlo,spotify:track:7191DyEIdTSPjx5dtEZMlo,https://api.spotify.com/v1/tracks/7191DyEIdTSPjx5dtEZMlo,https://api.spotify.com/v1/audio-analysis/7191DyEIdTSPjx5dtEZMlo,252427,4,RnB,Lights Off,,
5715,0.855,0.371,2,-11.087,1,0.115,0.122,2.22e-06,0.0978,0.232,189.988,audio_features,3VaJpVf2jc9by82sJDIKzy,spotify:track:3VaJpVf2jc9by82sJDIKzy,https://api.spotify.com/v1/tracks/3VaJpVf2jc9by82sJDIKzy,https://api.spotify.com/v1/audio-analysis/3VaJpVf2jc9by82sJDIKzy,152842,4,Underground Rap,bad thoughts,,
18040,0.858,0.677,1,-3.842,0,0.0465,0.0752,0.0,0.0718,0.925,117.005,audio_features,3veFQzlEOTpcGGIbYPKdYq,spotify:track:3veFQzlEOTpcGGIbYPKdYq,https://api.spotify.com/v1/tracks/3veFQzlEOTpcGGIbYPKdYq,https://api.spotify.com/v1/audio-analysis/3veFQzlEOTpcGGIbYPKdYq,188067,4,Pop,Love You Like A Love Song,,
8137,0.862,0.6,7,-5.522,1,0.151,0.16,0.0,0.102,0.433,119.072,audio_features,79R3qLqdbwUSYWX4cEOpbJ,spotify:track:79R3qLqdbwUSYWX4cEOpbJ,https://api.spotify.com/v1/tracks/79R3qLqdbwUSYWX4cEOpbJ,https://api.spotify.com/v1/audio-analysis/79R3qLqdbwUSYWX4cEOpbJ,164521,4,Underground Rap,What in XXXTarnation,,
