,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
11825,0.8029999999999999,0.949,2,-4.723,1,0.264,0.0218,0.0,0.298,0.593,169.972,audio_features,2HQ0GIvcX2NHBFPZfMPYS9,spotify:track:2HQ0GIvcX2NHBFPZfMPYS9,https://api.spotify.com/v1/tracks/2HQ0GIvcX2NHBFPZfMPYS9,https://api.spotify.com/v1/audio-analysis/2HQ0GIvcX2NHBFPZfMPYS9,149647,4,Trap Metal,Carnivore X,,
14363,0.836,0.627,6,-4.377,0,0.197,0.14300000000000002,0.0,0.0657,0.652,142.99,audio_features,1dnsojUNfvhiztcITLzruj,spotify:track:1dnsojUNfvhiztcITLzruj,https://api.spotify.com/v1/tracks/1dnsojUNfvhiztcITLzruj,https://api.spotify.com/v1/audio-analysis/1dnsojUNfvhiztcITLzruj,194680,4,Rap,Wolves (with NAV),,
15779,0.718,0.552,1,-6.287000000000001,1,0.44,0.557,0.0,0.119,0.4270000000000001,152.984,audio_features,2GEeQ0W4J1ePDnsctlOYiz,spotify:track:2GEeQ0W4J1ePDnsctlOYiz,https://api.spotify.com/v1/tracks/2GEeQ0W4J1ePDnsctlOYiz,https://api.spotify.com/v1/audio-analysis/2GEeQ0W4J1ePDnsctlOYiz,192572,4,Rap,Lights Out (feat. Don Q),,
4397,0.185,0.948,9,-4.158,1,0.446,0.000889,0.163,0.142,0.0395,175.016,audio_features,2emYCTqE60lI5D7atS8fgc,spotify:track:2emYCTqE60lI5D7atS8fgc,https://api.spotify.com/v1/tracks/2emYCTqE60lI5D7atS8fgc,https://api.spotify.com/v1/audio-analysis/2emYCTqE60lI5D7atS8fgc,214884,5,Dark Trap,Don't Like (Enjoii Remix),,
33743,0.5720000000000001,0.8909999999999999,2,-1.754,1,0.0675,0.00492,0.595,0.675,0.0877,145.04399999999995,audio_features,4pGfFlZ7mpykUcO5se8MtK,spotify:track:4pGfFlZ7mpykUcO5se8MtK,https://api.spotify.com/v1/tracks/4pGfFlZ7mpykUcO5se8MtK,https://api.spotify.com/v1/audio-analysis/4pGfFlZ7mpykUcO5se8MtK,238345,4,trap,,12328.0,I'm a fucking Headbanger
